"";"nombre";"subnombre";"precio";"year";"potencia";"km";"combustible";"puertas";"long";"alt";"anch";"peso";"url"
"1266";"Nissan Juke";"1.5dci Acenta 4x2
";"13.490€";"06/2016";"110 cv";"44.125 km";"Diesel";"5 puertas";"414 cm";"157 cm";"177 cm";"1.305 kg";"https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-15dci-acenta-4x2-en-madrid.htm?id=2819466"
"1267";"Seat Altea";"Xl 1.6tdi Cr S&s Reference E-eco.
";"9.890€";"03/2013";"105 cv";"111.000 km";"Diesel";"5 puertas";"447 cm";"158 cm";"177 cm";"1.480 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-xl-16tdi-cr-s_s-reference-e-eco-en-madrid.htm?id=2910750"
"1268";"Seat Altea";"Xl 1.6tdi Cr S&s Reference E-eco.
";"9.890€";"03/2013";"105 cv";"111.000 km";"Diesel";"5 puertas";"447 cm";"158 cm";"177 cm";"1.480 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-xl-16tdi-cr-s_s-reference-e-eco-en-madrid.htm?id=2874759"
"1269";"Toyota C-hr";"C-hr 125h Advance
";"24.890€";"06/2017";"122 cv";"14.000 km";"Híbrido";"5 puertas";"436 cm";"156 cm";"180 cm";"1.420 kg";"https://www.coches.com/coches-segunda-mano/ocasion-toyota-c-hr-125h-advance-en-madrid.htm?id=2872366"
"1270";"Bmw Serie 3";"325i Cabrio Aut.
";"15.000€";"09/2008";"218 cv";"150.000 km";"Gasolina";"2 puertas";"458 cm";"138 cm";"178 cm";"1.760 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-325i-cabrio-aut-en-madrid.htm?id=2874722"
"1271";"Audi A6 Allroad";"Quattro 3.0bitdi Tiptronic
";"30.990€";"12/2012";"313 cv";"146.700 km";"Diesel";"5 puertas";"494 cm";"145 cm";"190 cm";"1.985 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a6+allroad-quattro-30bitdi-tiptronic-en-madrid.htm?id=2900811"
"1272";"Opel Astra";"St 1.6cdti S-s Excellence 136
";"15.990€";"01/2017";"136 cv";"8.172 km";"Diesel";"5 puertas";"470 cm";"150 cm";"181 cm";"1.273 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-st-16cdti-s-s-excellence-136-en-madrid.htm?id=2881118"
"1273";"Renault Mégane";"S.t. 1.5dci Business 110
";"8.890€";"07/2012";"110 cv";"103.000 km";"Diesel";"5 puertas";"456 cm";"151 cm";"180 cm";"1.302 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-st-15dci-business-110-en-madrid.htm?id=2715333"
"1274";"Renault Mégane";"S.t. 1.5dci Business 110
";"8.890€";"07/2012";"110 cv";"103.000 km";"Diesel";"5 puertas";"456 cm";"151 cm";"180 cm";"1.302 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-st-15dci-business-110-en-madrid.htm?id=2910707"
"1275";"Volvo Xc90";"Xc90 D5 Inscription Awd 225 Aut.
";"47.024€";"01/2016";"225 cv";"51.000 km";"Diesel";"5 puertas";"495 cm";"178 cm";"192 cm";"2.009 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc90-d5-inscription-awd-225-aut-en-madrid.htm?id=2887746"
"1276";"Nissan Micra";"1.5dci Acenta 90
";"12.500€";"04/2017";"90 cv";"11.610 km";"Diesel";"5 puertas";"400 cm";"146 cm";"174 cm";"1.157 kg";"https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-15dci-acenta-90-en-madrid.htm?id=2822100"
"1277";"Opel Astra";"Gtc 1.7cdti S-s Sportive
";"11.400€";"06/2012";"130 cv";"69.000 km";"Diesel";"3 puertas";"447 cm";"149 cm";"184 cm";"1.503 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-gtc-17cdti-s-s-sportive-en-madrid.htm?id=2909170"
