"";"nombre";"subnombre";"precio";"year";"potencia";"km";"combustible";"puertas";"long";"alt";"anch";"peso";"url"
"1613";"Opel Insignia";"2.0cdti Cosmo Aut.160
";"11.400€";"04/2011";"160 cv";"119.000 km";"Diesel";"4 puertas";"483 cm";"150 cm";"186 cm";"1.503 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia-20cdti-cosmo-aut160-en-madrid.htm?id=2903742"
"1614";"Seat Mii";"1.0 Style 75
";"9.000€";"05/2017";"75 cv";"5.426 km";"Gasolina";"5 puertas";"356 cm";"148 cm";"164 cm";"928 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-mii-10-style-75-en-madrid.htm?id=2913677"
"1615";"Audi A4";"2.0tdi Advanced Edition S Tronic 150
";"26.900€";"01/2017";"150 cv";"22.094 km";"Diesel";"4 puertas";"473 cm";"143 cm";"184 cm";"1.540 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a4-20tdi-advanced-edition-s-tronic-150-en-madrid.htm?id=2792607"
"1616";"Mercedes Clase A";"A 200d 7g-dct
";"24.500€";"06/2017";"136 cv";"20.000 km";"Diesel";"5 puertas";"430 cm";"143 cm";"178 cm";"1.485 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200d-7g-dct-en-madrid.htm?id=2878957"
"1617";"Mercedes Clase A";"A 200d 7g-dct
";"24.500€";"06/2017";"136 cv";"20.000 km";"Diesel";"5 puertas";"430 cm";"143 cm";"178 cm";"1.485 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200d-7g-dct-en-madrid.htm?id=2878956"
"1618";"Abarth 500";"Abarth 595 1.4t-jet 140
";"12.800€";"09/2016";"140 cv";"35.360 km";"Gasolina";"3 puertas";"366 cm";"148 cm";"163 cm";"1.035 kg";"https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-abarth-595-14t-jet-140-en-madrid.htm?id=2879055"
"1619";"Fiat 500l";"500l 1.3mjt Ii S&s Trekking 85
";"10.400€";"04/2015";"85 cv";"33.000 km";"Diesel";"5 puertas";"427 cm";"168 cm";"180 cm";"1.315 kg";"https://www.coches.com/coches-segunda-mano/ocasion-fiat-500l-13mjt-ii-s_s-trekking-85-en-madrid.htm?id=2912908"
"1620";"Fiat Panda";"1.2 Lounge
";"6.000€";"11/2015";"69 cv";"34.100 km";"Gasolina";"5 puertas";"365 cm";"155 cm";"164 cm";"940 kg";"https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-madrid.htm?id=2892156"
"1621";"Alfa Romeo Giulietta";"1.6jtdm Distinctive
";"10.990€";"04/2015";"105 cv";"13.000 km";"Diesel";"5 puertas";"435 cm";"147 cm";"180 cm";"1.385 kg";"https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-giulietta-16jtdm-distinctive-en-madrid.htm?id=2906282"
"1622";"Fiat Tipo";"1.3 Multijet Ii Easy 95
";"11.100€";"12/2017";"95 cv";"0 km";"Diesel";"5 puertas";"437 cm";"150 cm";"179 cm";"1.290 kg";"https://www.coches.com/km0/seminuevo-fiat-tipo-13-multijet-ii-easy-95-en-madrid.htm?id=2872706"
"1623";"Jeep Renegade";"1.6mjt Longitude 4x2 120
";"16.000€";"02/2017";"120 cv";"24.000 km";"Diesel";"5 puertas";"424 cm";"167 cm";"181 cm";"1.404 kg";"https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-16mjt-longitude-4x2-120-en-madrid.htm?id=2659068"
"1624";"Fiat 500x";"500x 1.6mjt Pop Star 4x2 120
";"14.600€";"10/2017";"120 cv";"10.700 km";"Diesel";"5 puertas";"425 cm";"160 cm";"180 cm";"1.320 kg";"https://www.coches.com/coches-segunda-mano/ocasion-fiat-500x-16mjt-pop-star-4x2-120-en-madrid.htm?id=2797836"
"1625";"Toyota Avensis";"140 Advance
";"20.850€";"2018";"147 cv";"1 km";"Gasolina";"4 puertas";"475 cm";"148 cm";"181 cm";"1.370 kg";"https://www.coches.com/km0/seminuevo-toyota-avensis-140-advance-en-madrid.htm?id=2875231"
"1626";"Alfa Romeo Giulia";"2.2 Diesel Super Aut. 180
";"24.490€";"07/2016";"180 cv";"44.538 km";"Diesel";"4 puertas";"464 cm";"144 cm";"186 cm";"1.374 kg";"https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-giulia-22-diesel-super-aut-180-en-madrid.htm?id=2792234"
"1627";"Jaguar F-pace";"F-pace 2.0i4d Prestige Aut. Awd 180
";"47.900€";"07/2017";"180 cv";"10.150 km";"Diesel";"5 puertas";"473 cm";"165 cm";"207 cm";"1.775 kg";"https://www.coches.com/coches-segunda-mano/ocasion-jaguar-f-pace-20i4d-prestige-aut-awd-180-en-madrid.htm?id=2906926"
"1628";"Seat Ibiza";"1.2 Tsi Style
";"10.000€";"01/2017";"90 cv";"25.469 km";"Gasolina";"5 puertas";"406 cm";"145 cm";"169 cm";"1.089 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-12-tsi-style-en-madrid.htm?id=2913694"
"1629";"Seat León";"2.0tdi Cr S&s Fr 150
";"16.600€";"02/2016";"150 cv";"22.600 km";"Diesel";"5 puertas";"428 cm";"146 cm";"182 cm";"1.305 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-20tdi-cr-s_s-fr-150-en-madrid.htm?id=2888195"
"1630";"Mercedes Clase A";"A 180d 7g-dct
";"22.900€";"01/2017";"109 cv";"26.554 km";"Diesel";"5 puertas";"430 cm";"143 cm";"178 cm";"1.425 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-7g-dct-en-madrid.htm?id=2884658"
"1631";"Peugeot 207";"Cc 1.6 Vti
";"5.990€";"2009";"120 cv";"112.600 km";"Gasolina";"2 puertas";"404 cm";"139 cm";"175 cm";"1.342 kg";"https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-cc-16-vti-en-madrid.htm?id=2873990"
"1632";"Seat León";"1.6tdi Cr S&s Reference 105
";"10.290€";"03/2014";"105 cv";"93.000 km";"Diesel";"5 puertas";"426 cm";"146 cm";"182 cm";"1.286 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-16tdi-cr-s_s-reference-105-en-madrid.htm?id=2680602"
"1633";"Volkswagen Transporter";"Kombi 2.0tdi Scr Bmt 102
";"22.300€";"11/2016";"102 cv";"15.088 km";"Diesel";"4 puertas";"490 cm";"199 cm";"190 cm";"1.930 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-transporter-kombi-20tdi-scr-bmt-102-en-madrid.htm?id=2897879"
"1634";"Bmw X5";"Xdrive 30da
";"26.900€";"2012";"245 cv";"154.000 km";"Diesel";"5 puertas";"486 cm";"178 cm";"193 cm";"2.075 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-xdrive-30da-en-madrid.htm?id=2912798"
"1635";"Audi A5";"Sportback 2.0tdi 177
";"20.990€";"05/2012";"177 cv";"84.999 km";"Diesel";"5 puertas";"471 cm";"139 cm";"185 cm";"1.515 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a5-sportback-20tdi-177-en-madrid.htm?id=2883487"
"1636";"Alfa Romeo Giulietta";"1.6jtd Distinctive 120
";"12.990€";"03/2016";"120 cv";"21.511 km";"Diesel";"5 puertas";"435 cm";"147 cm";"180 cm";"1.385 kg";"https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-giulietta-16jtd-distinctive-120-en-madrid.htm?id=2839923"
"1637";"Volkswagen Polo";"1.2tdi Advance
";"8.300€";"02/2014";"75 cv";"63.930 km";"Diesel";"3 puertas";"397 cm";"149 cm";"168 cm";"1.132 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-polo-12tdi-advance-en-madrid.htm?id=2876301"
"1638";"Volkswagen Golf";"1.2 Tsi Bmt Edition 110
";"14.590€";"02/2017";"110 cv";"28.549 km";"Gasolina";"5 puertas";"426 cm";"145 cm";"180 cm";"1.210 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-12-tsi-bmt-edition-110-en-madrid.htm?id=2905140"
"1639";"Volkswagen Golf";"1.2 Tsi Bmt Edition 110
";"14.590€";"02/2017";"110 cv";"28.706 km";"Gasolina";"5 puertas";"426 cm";"145 cm";"180 cm";"1.210 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-12-tsi-bmt-edition-110-en-madrid.htm?id=2905144"
"1640";"Citroen C4";"1.6hdi Seduction
";"8.990€";"2014";"92 cv";"117.900 km";"Diesel";"5 puertas";"433 cm";"149 cm";"179 cm";"1.205 kg";"https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-16hdi-seduction-en-madrid.htm?id=2898664"
"1641";"Volkswagen Polo";"1.6tdi Advance
";"7.400€";"08/2009";"75 cv";"54.400 km";"Diesel";"5 puertas";"397 cm";"149 cm";"168 cm";"1.232 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-polo-16tdi-advance-en-madrid.htm?id=2914063"
"1642";"Mazda Cx-7";"Cx-7 2.3 Sportive Turbo
";"9.750€";"01/2009";"258 cv";"112.900 km";"Gasolina";"5 puertas";"468 cm";"165 cm";"187 cm";"1.695 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mazda-cx-7-23-sportive-turbo-en-madrid.htm?id=2889979"
"1643";"Opel Mokka";"1.6cdti S&s Selective 4x2
";"14.990€";"12/2016";"136 cv";"17.583 km";"Diesel";"5 puertas";"428 cm";"166 cm";"178 cm";"1.449 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-16cdti-s_s-selective-4x2-en-madrid.htm?id=2662610"
"1644";"Seat Ibiza";"1.6tdi Cr Reference
";"7.390€";"11/2013";"90 cv";"119.000 km";"Diesel";"5 puertas";"406 cm";"145 cm";"169 cm";"1.170 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-16tdi-cr-reference-en-madrid.htm?id=2910667"
"1645";"Seat Ibiza";"1.6tdi Cr Reference
";"7.390€";"12/2013";"90 cv";"119.000 km";"Diesel";"5 puertas";"406 cm";"145 cm";"169 cm";"1.170 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-16tdi-cr-reference-en-madrid.htm?id=2599670"
"1646";"Bmw X5";"3.0d Aut.
";"8.500€";"12/2005";"218 cv";"230.000 km";"Diesel";"5 puertas";"467 cm";"172 cm";"187 cm";"2.105 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-30d-aut-en-madrid.htm?id=2891748"
"1647";"Renault Mégane";"1.5dci Business 110
";"9.900€";"05/2015";"110 cv";"59.878 km";"Diesel";"5 puertas";"430 cm";"147 cm";"181 cm";"1.215 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-business-110-en-madrid.htm?id=2848195"
"1648";"Renault Mégane";"1.5dci Eco2 Energy Business S&s 110
";"9.300€";"06/2014";"110 cv";"42.536 km";"Diesel";"5 puertas";"430 cm";"147 cm";"181 cm";"1.215 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-eco2-energy-business-s_s-110-en-madrid.htm?id=2730367"
"1649";"Jeep Compass";"2.0crd Limited
";"6.500€";"06/2008";"140 cv";"209.000 km";"Diesel";"5 puertas";"441 cm";"163 cm";"181 cm";"1.610 kg";"https://www.coches.com/coches-segunda-mano/ocasion-jeep-compass-20crd-limited-en-madrid.htm?id=2888508"
"1650";"Land Rover Range Rover Evoque";"Evoque Convertible 2.0td4 Hse Dynamic 180 Aut.
";"52.900€";"02/2017";"180 cv";"8.125 km";"Diesel";"2 puertas";"437 cm";"161 cm";"198 cm";"1.967 kg";"https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+evoque-evoque-convertible-20td4-hse-dynamic-180-aut-en-madrid.htm?id=2911790"
"1651";"Mercedes Clase C";"C Estate 180cdi Be
";"18.560€";"02/2014";"120 cv";"89.430 km";"Diesel";"5 puertas";"461 cm";"146 cm";"177 cm";"1.615 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-estate-180cdi-be-en-madrid.htm?id=2866258"
"1652";"Seat Ibiza";"1.0 Ecotsi S&s Style 95
";"13.300€";"09/2017";"95 cv";"2.332 km";"Gasolina";"5 puertas";"406 cm";"144 cm";"178 cm";"1.122 kg";"https://www.coches.com/km0/seminuevo-seat-ibiza-10-ecotsi-s_s-style-95-en-madrid.htm?id=2913673"
"1653";"Seat Altea";"Xl 1.9tdi Family
";"7.999€";"01/2009";"105 cv";"90.000 km";"Diesel";"5 puertas";"447 cm";"158 cm";"177 cm";"1.444 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-xl-19tdi-family-en-madrid.htm?id=2899174"
"1654";"Nissan Qashqai";"1.5dci Acenta 4x2
";"13.670€";"04/2013";"110 cv";"97.102 km";"Diesel";"5 puertas";"433 cm";"162 cm";"178 cm";"1.418 kg";"https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-acenta-4x2-en-madrid.htm?id=2866281"
"1655";"Nissan Qashqai";"1.5dci N-connecta 4x2
";"19.550€";"2017";"110 cv";"20.000 km";"Diesel";"5 puertas";"438 cm";"159 cm";"181 cm";"1.365 kg";"https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-n-connecta-4x2-en-madrid.htm?id=2848499"
"1656";"Renault Mégane";"1.6dci Energy Dynamique S&s 130
";"10.400€";"11/2013";"130 cv";"49.100 km";"Diesel";"5 puertas";"430 cm";"147 cm";"181 cm";"1.320 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-16dci-energy-dynamique-s_s-130-en-madrid.htm?id=2911834"
"1657";"Kia Carens";"1.6 Gdi Drive
";"11.690€";"07/2015";"135 cv";"37.147 km";"Gasolina";"5 puertas";"453 cm";"161 cm";"181 cm";"1.383 kg";"https://www.coches.com/coches-segunda-mano/ocasion-kia-carens-16-gdi-drive-en-madrid.htm?id=2892916"
"1658";"Peugeot 308";"1.6bluehdi S&s Active 120
";"12.790€";"03/2016";"120 cv";"38.165 km";"Diesel";"5 puertas";"425 cm";"147 cm";"180 cm";"1.255 kg";"https://www.coches.com/coches-segunda-mano/ocasion-peugeot-308-16bluehdi-s_s-active-120-en-madrid.htm?id=2908667"
"1659";"Toyota Auris";"1.4d-4d Live
";"7.790€";"2010";"90 cv";"82.802 km";"Diesel";"5 puertas";"422 cm";"152 cm";"176 cm";"1.315 kg";"https://www.coches.com/coches-segunda-mano/ocasion-toyota-auris-14d-4d-live-en-madrid.htm?id=2886884"
"1660";"Audi Q5";"2.0tdi Attraction 150
";"24.500€";"07/2014";"150 cv";"60.000 km";"Diesel";"5 puertas";"463 cm";"163 cm";"190 cm";"1.680 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-q5-20tdi-attraction-150-en-madrid.htm?id=2906857"
"1661";"Volvo V60 Cross Country";"D4 Summum Aut.
";"32.400€";"07/2016";"190 cv";"17.733 km";"Diesel";"5 puertas";"464 cm";"155 cm";"190 cm";"1.666 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volvo-v60+cross+country-d4-summum-aut-en-madrid.htm?id=2908487"
"1662";"Seat León";"St 1.6tdi Cr S&s Style 110
";"15.290€";"02/2017";"110 cv";"22.000 km";"Diesel";"5 puertas";"454 cm";"145 cm";"182 cm";"1.305 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-st-16tdi-cr-s_s-style-110-en-madrid.htm?id=2814023"
"1663";"Ford Focus";"1.8 Tdci Trend 100
";"1.600€";"2003";"100 cv";"280.000 km";"Diesel";"5 puertas";"415 cm";"148 cm";"170 cm";"1.280 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-18-tdci-trend-100-en-madrid.htm?id=2889302"
"1664";"Mercedes Clase E";"E 220 Bt Avantgarde 9g-tronic
";"26.900€";"08/2015";"170 cv";"91.555 km";"Diesel";"4 puertas";"488 cm";"146 cm";"185 cm";"1.735 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+e-e-220-bt-avantgarde-9g-tronic-en-madrid.htm?id=2900730"
"1665";"Ford Focus";"1.6tdci Trend
";"4.500€";"11/2006";"109 cv";"96.200 km";"Diesel";"5 puertas";"434 cm";"145 cm";"184 cm";"1.352 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-16tdci-trend-en-madrid.htm?id=2913564"
"1666";"Volkswagen Cc";"Volkswagen Cc 2.0tdi Bmt Advance 140
";"19.400€";"06/2014";"140 cv";"59.800 km";"Diesel";"4 puertas";"480 cm";"142 cm";"186 cm";"1.470 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-cc-volkswagen--20tdi-bmt-advance-140-en-madrid.htm?id=2905632"
"1667";"Seat Ibiza";"1.0 Ecotsi S&s Style 95
";"13.300€";"09/2017";"95 cv";"2.456 km";"Gasolina";"5 puertas";"406 cm";"144 cm";"178 cm";"1.122 kg";"https://www.coches.com/km0/seminuevo-seat-ibiza-10-ecotsi-s_s-style-95-en-madrid.htm?id=2913688"
"1668";"Audi A3";"Sb 1.4 Tfsi Cod Ultra S Line Ed. 150
";"24.900€";"05/2017";"150 cv";"8.861 km";"Gasolina";"5 puertas";"431 cm";"143 cm";"179 cm";"1.300 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-sb-14-tfsi-cod-ultra-s-line-ed-150-en-madrid.htm?id=2901148"
"1669";"Peugeot 208";"1.6bluehdi Style 75
";"10.790€";"2017";"75 cv";"17.813 km";"Diesel";"5 puertas";"397 cm";"146 cm";"174 cm";"1.150 kg";"https://www.coches.com/coches-segunda-mano/ocasion-peugeot-208-16bluehdi-style-75-en-madrid.htm?id=2880724"
"1670";"Citroen C2";"1.4i Furio
";"3.700€";"12/2007";"75 cv";"64.700 km";"Gasolina";"3 puertas";"367 cm";"147 cm";"166 cm";"1.065 kg";"https://www.coches.com/coches-segunda-mano/ocasion-citroen-c2-14i-furio-en-madrid.htm?id=2900695"
"1671";"Seat Ibiza";"1.6tdi Cr Reference
";"6.990€";"07/2013";"90 cv";"124.000 km";"Diesel";"5 puertas";"406 cm";"145 cm";"169 cm";"1.170 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-16tdi-cr-reference-en-madrid.htm?id=2818271"
"1672";"Nissan Qashqai";"1.6dci N-connecta 4x2
";"19.900€";"08/2016";"130 cv";"34.753 km";"Diesel";"5 puertas";"438 cm";"159 cm";"181 cm";"1.419 kg";"https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-16dci-n-connecta-4x2-en-madrid.htm?id=2882975"
"1673";"Volkswagen Passat";"1.6tdi Advance Bmt
";"12.990€";"03/2012";"105 cv";"72.655 km";"Diesel";"4 puertas";"477 cm";"147 cm";"182 cm";"1.499 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-passat-16tdi-advance-bmt-en-madrid.htm?id=2901157"
"1674";"Ford Mondeo";"2.0tdci Limited Edition 140
";"10.990€";"10/2013";"140 cv";"139.000 km";"Diesel";"5 puertas";"485 cm";"150 cm";"189 cm";"1.557 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-limited-edition-140-en-madrid.htm?id=2910772"
"1675";"Bmw X1";"Sdrive 20da
";"16.990€";"07/2013";"184 cv";"134.772 km";"Diesel";"5 puertas";"448 cm";"155 cm";"180 cm";"1.500 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-x1-sdrive-20da-en-madrid.htm?id=2846353"
"1676";"Bmw Serie 5";"520da Touring
";"32.900€";"2016";"190 cv";"30.010 km";"Diesel";"5 puertas";"491 cm";"146 cm";"186 cm";"1.735 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-touring-en-madrid.htm?id=2909223"
"1677";"Abarth 595";"Abarth  1.4t-jet Competizione 180 Aut.
";"24.550€";"2018";"180 cv";"1 km";"Gasolina";"3 puertas";"366 cm";"149 cm";"163 cm";"1.110 kg";"https://www.coches.com/km0/seminuevo-abarth-595-abarth--14t-jet-competizione-180-aut-en-madrid.htm?id=2885526"
"1678";"Toyota Aygo";"1.0 Vvt-i Live
";"4.700€";"11/2013";"68 cv";"61.754 km";"Gasolina";"5 puertas";"342 cm";"147 cm";"162 cm";"800 kg";"https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-10-vvt-i-live-en-madrid.htm?id=2855108"
"1679";"Bmw Serie 3";"318da
";"25.490€";"12/2016";"150 cv";"22.777 km";"Diesel";"4 puertas";"463 cm";"143 cm";"181 cm";"1.450 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-318da-en-madrid.htm?id=2819437"
"1680";"Bmw Serie 3";"318da
";"25.490€";"12/2016";"150 cv";"22.775 km";"Diesel";"4 puertas";"463 cm";"143 cm";"181 cm";"1.450 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-318da-en-madrid.htm?id=2819432"
"1681";"Citroen Berlingo";"Multispace 1.6hdi Live Ed. 90 N1
";"11.990€";"06/2016";"92 cv";"13.500 km";"Diesel";"4 puertas";"438 cm";"180 cm";"181 cm";"1.539 kg";"https://www.coches.com/coches-segunda-mano/ocasion-citroen-berlingo-multispace-16hdi-live-ed-90-n1-en-madrid.htm?id=2451631"
"1682";"Mercedes Clase C";"C 220d 7g Plus
";"33.990€";"04/2017";"170 cv";"11.500 km";"Diesel";"4 puertas";"469 cm";"144 cm";"181 cm";"1.570 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-220d-7g-plus-en-madrid.htm?id=2902104"
"1683";"Mercedes Clase C";"C 220cdi Be Avantgarde 7g Plus
";"20.500€";"10/2013";"170 cv";"69.498 km";"Diesel";"4 puertas";"459 cm";"145 cm";"177 cm";"1.600 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-220cdi-be-avantgarde-7g-plus-en-madrid.htm?id=2900713"
"1684";"Opel Vivaro";"Com6 2.0cdti 27 L1 Total Acrist.114 E5
";"12.500€";"08/2014";"114 cv";"88.143 km";"Diesel";"4 puertas";"478 cm";"195 cm";"190 cm";"1.821 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-vivaro-com6-20cdti-27-l1-total-acrist114-e5-en-madrid.htm?id=2889490"
"1685";"Volkswagen Golf";"1.6tdi Cr Bmt Edition 110
";"15.600€";"12/2016";"110 cv";"23.201 km";"Diesel";"5 puertas";"426 cm";"145 cm";"180 cm";"1.299 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-16tdi-cr-bmt-edition-110-en-madrid.htm?id=2875582"
"1686";"Porsche Cayenne";"Diesel 245 Aut.
";"39.900€";"06/2013";"245 cv";"113.435 km";"Diesel";"5 puertas";"485 cm";"171 cm";"194 cm";"2.175 kg";"https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayenne-diesel-245-aut-en-madrid.htm?id=2651304"
"1687";"Ford Focus";"1.6tdci Trend
";"7.690€";"08/2012";"95 cv";"133.000 km";"Diesel";"5 puertas";"436 cm";"148 cm";"182 cm";"1.338 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-16tdci-trend-en-madrid.htm?id=2910682"
"1688";"Alfa Romeo Giulietta";"1.6jtd Distinctive 120
";"12.990€";"02/2016";"120 cv";"36.631 km";"Diesel";"5 puertas";"435 cm";"147 cm";"180 cm";"1.385 kg";"https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-giulietta-16jtd-distinctive-120-en-madrid.htm?id=2747053"
"1689";"Renault Scénic";"1.5dci Energy Dynamique 110
";"9.790€";"11/2013";"110 cv";"129.000 km";"Diesel";"5 puertas";"437 cm";"164 cm";"185 cm";"1.434 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-15dci-energy-dynamique-110-en-madrid.htm?id=2910733"
"1690";"Abarth 595";"Abarth  1.4t-jet 145
";"17.550€";"2018";"145 cv";"1 km";"Gasolina";"3 puertas";"366 cm";"148 cm";"163 cm";"1.110 kg";"https://www.coches.com/km0/seminuevo-abarth-595-abarth--14t-jet-145-en-madrid.htm?id=2885518"
"1691";"Smart Fortwo";"Coupé 62 Passion Aut.
";"7.900€";"01/2014";"84 cv";"25.475 km";"Gasolina";"3 puertas";"270 cm";"157 cm";"156 cm";"770 kg";"https://www.coches.com/coches-segunda-mano/ocasion-smart-fortwo-coupe-62-passion-aut-en-madrid.htm?id=2892492"
"1692";"Bmw Serie 5";"530da Xdrive
";"27.995€";"2013";"258 cv";"103.000 km";"Diesel";"4 puertas";"490 cm";"146 cm";"186 cm";"1.790 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-530da-xdrive-en-madrid.htm?id=2896251"
"1693";"Peugeot 5008";"1.6hdi Active 115
";"13.900€";"2014";"115 cv";"68.886 km";"Diesel";"5 puertas";"453 cm";"162 cm";"184 cm";"1.430 kg";"https://www.coches.com/coches-segunda-mano/ocasion-peugeot-5008-16hdi-active-115-en-madrid.htm?id=2893683"
"1694";"Renault Mégane";"1.5dci Business 110
";"10.300€";"05/2015";"110 cv";"40.782 km";"Diesel";"5 puertas";"430 cm";"147 cm";"181 cm";"1.215 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-business-110-en-madrid.htm?id=2904586"
"1695";"Hyundai Ix20";"Ix20 1.4crdi Klass
";"9.250€";"07/2014";"90 cv";"72.900 km";"Diesel";"5 puertas";"410 cm";"160 cm";"177 cm";"1.270 kg";"https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix20-14crdi-klass-en-madrid.htm?id=2888448"
"1696";"Toyota Corolla";"2.0d-4d Sol
";"3.490€";"03/2005";"116 cv";"220.185 km";"Diesel";"3 puertas";"418 cm";"171 cm";"148 cm";"1.230 kg";"https://www.coches.com/coches-segunda-mano/ocasion-toyota-corolla-20d-4d-sol-en-madrid.htm?id=2883482"
"1697";"Seat Altea";"Xl 1.6tdi Cr S&s Reference E-eco.
";"10.990€";"03/2013";"105 cv";"68.000 km";"Diesel";"5 puertas";"447 cm";"158 cm";"177 cm";"1.480 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-xl-16tdi-cr-s_s-reference-e-eco-en-madrid.htm?id=2876189"
"1698";"Seat Altea";"Xl 1.6tdi Cr S&s Reference E-eco.
";"10.990€";"03/2013";"105 cv";"68.000 km";"Diesel";"5 puertas";"447 cm";"158 cm";"177 cm";"1.480 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-xl-16tdi-cr-s_s-reference-e-eco-en-madrid.htm?id=2910756"
"1699";"Seat Ateca";"1.0 Tsi S&s Ecomotive Style
";"20.890€";"10/2017";"115 cv";"200 km";"Gasolina";"5 puertas";"436 cm";"160 cm";"184 cm";"1.280 kg";"https://www.coches.com/km0/seminuevo-seat-ateca-10-tsi-s_s-ecomotive-style-en-madrid.htm?id=2814017"
"1700";"Nissan Qashqai";"1.5dci N-connecta 4x2
";"19.300€";"07/2016";"110 cv";"11.877 km";"Diesel";"5 puertas";"438 cm";"159 cm";"181 cm";"1.365 kg";"https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-n-connecta-4x2-en-madrid.htm?id=2841837"
"1701";"Seat Ibiza";"1.6tdi Cr Style 105
";"9.500€";"03/2015";"105 cv";"35.448 km";"Diesel";"5 puertas";"406 cm";"145 cm";"169 cm";"1.170 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-16tdi-cr-style-105-en-madrid.htm?id=2913667"
